athlete_id,tests_count,days_between_tests,force_sym_improvement,max_force_sym_improvement,left_force_change,right_force_change
114983789.0,72,915,False,False,0.9115969581749049,0.7888198757763976
114128939.0,68,984,False,False,0.6743215031315241,0.763430725730443
114962795.0,66,984,True,True,0.001635322976287817,-0.0960573476702509
114737056.0,66,836,False,False,0.34130255564715584,0.3868402024584237
113328523.0,60,984,False,False,0.5573487031700288,0.2413597733711048
114349240.0,60,984,False,False,0.1221183800623053,-0.0078125
113134410.0,58,938,True,True,0.7514792899408284,0.7961264016309888
113364136.0,54,894,False,False,0.1725790987535954,0.12312312312312312
115401741.0,54,881,False,False,0.4482484076433121,0.5155684286748733
114312389.0,50,984,True,True,0.12366310160427807,0.007826610475617099
114992307.0,50,824,True,True,0.10276296655356278,0.08141176470588235
112986940.0,48,984,True,True,-0.00582010582010582,0.061676646706586825
114014584.0,48,984,True,True,0.07666506947771921,0.18675995694294942
114941701.0,46,750,False,True,0.19243104554201412,0.11593304401735896
14568521.0,46,984,False,False,0.14753189129229063,0.2115171650055371
114877479.0,46,859,False,False,0.24632068164213788,0.19904458598726116
115273351.0,44,778,False,False,0.16853360488798372,0.04853387259858443
115821653.0,44,550,False,False,0.01575262543757293,-0.06285003111387678
114319568.0,44,1006,False,False,0.1247853463079565,0.08020773225620312
114796341.0,42,754,True,True,0.2994011976047904,0.1111111111111111
