feature,high_risk_mean,low_risk_mean,mean_difference,cohens_d,p_value
MaxForceSymmetry,1.1012333189234833,1.0083420668057896,0.09289125211769367,0.7234390282992134,1.4735666297810505e-141
TorqueSymmetry,1.1012333189234833,1.0083420668057896,0.09289125211769367,0.7234390282992132,1.473566629781386e-141
ForceSymmetry,1.0991063817468751,1.0107694658222715,0.08833691592460369,0.700743196739718,4.402811146516356e-135
ImpulseSymmetry,1.1351194599656165,1.0416774689304997,0.09344199103511674,0.5615875580239975,2.2460659647204537e-94
leftTorque,167.3256435810811,169.3503634708738,-2.024719889792692,-0.03717831177799219,0.14660949468586806
leftAvgForce,363.0608718093093,367.8644221631478,-4.803550353838546,-0.04481695425131645,0.08014597843145287
leftMaxForce,381.22635135135135,386.72208737864077,-5.495736027289411,-0.0500549988344978,0.05089413250844899
leftImpulse,4076.7815840840844,4536.852777777778,-460.07119369369366,-0.18776133157018385,1.8481058425034173e-13
rightTorque,153.57433699324326,168.06100910194175,-14.486672108698485,-0.2826656764782639,2.307085852325074e-28
rightImpulse,3671.4924849849854,4396.859514563107,-725.3670295781217,-0.31064976920053117,3.808547642748084e-34
rightAvgForce,332.64474943693693,364.2989474174244,-31.65419798048748,-0.3166793111939015,3.682791507950826e-35
rightMaxForce,349.63344594594594,383.8197141316073,-34.18626818566139,-0.33221231899003395,2.4570064877298704e-38
