Feature,RF_No_Balancing,RF_with_SMOTE,RF_with_SMOTEENN
ForceSymmetry,0.5461392355015585,0.5342950436469993,0.48421151276825414
ImpulseSymmetry,0.13462697466778245,0.13469827696022857,0.2569620371451321
leftAvgForce,0.04215509866704501,0.041323882048881266,0.03080122032066166
leftImpulse,0.02723141096604257,0.029649593728980662,0.03055589228560187
leftMaxForce,0.04785192408993045,0.05112004336537258,0.03615696175877778
leftTorque,0.04175382162170247,0.043020133200093805,0.029173400216324596
rightAvgForce,0.03828398111527592,0.03792296953654179,0.026549996848175564
rightImpulse,0.029840557075032116,0.032933382054208225,0.03915733117729565
rightMaxForce,0.049669048260727384,0.052076195064438335,0.03870605661841182
rightTorque,0.04244794803490309,0.04296048039425541,0.02772559086136497
