Sport,Best Model,Sample Size,Asymmetry Rate,Accuracy,Precision,Recall,F1,ROC AUC,CV Mean ROC AUC
combined,RF_No_Balancing,3186,41.80790960451977,1.0,1.0,1.0,1.0,1.0,0.999997973370083
football,RF_No_Balancing,972,41.76954732510288,1.0,1.0,1.0,1.0,1.0,1.0
womes lax,RF_No_Balancing,429,51.28205128205128,1.0,1.0,1.0,1.0,1.0,1.0
mens soccer,RF_No_Balancing,321,35.82554517133956,1.0,1.0,1.0,1.0,1.0,0.9980911983032874
womens soccer,RF_No_Balancing,316,37.0253164556962,1.0,1.0,1.0,1.0,1.0,1.0
womens basketball,RF_No_Balancing,242,48.34710743801653,1.0,1.0,1.0,1.0,1.0,1.0
mens lax,RF_No_Balancing,215,44.651162790697676,1.0,1.0,1.0,1.0,1.0,1.0
baseball,RF_No_Balancing,205,34.63414634146341,1.0,1.0,1.0,1.0,1.0,0.9989417989417989
mens basketball,RF_No_Balancing,144,38.88888888888889,1.0,1.0,1.0,1.0,1.0,0.9970588235294118
womens volleyball,RF_No_Balancing,124,33.87096774193548,0.96,0.8888888888888888,1.0,0.9411764705882353,0.9705882352941176,0.9944444444444445
softball,RF_No_Balancing,94,45.744680851063826,0.9473684210526315,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9977777777777778
track and field,RF_No_Balancing,87,35.63218390804598,1.0,1.0,1.0,1.0,1.0,1.0
tennis,RF_No_Balancing,35,51.42857142857142,1.0,1.0,1.0,1.0,1.0,0.9777777777777779
