Feature,baseball,combined,football,mens basketball,mens lax,mens soccer,softball,tennis,track and field,womens basketball,womens soccer,womens volleyball,womes lax
ForceSymmetry,0.21197748954430548,0.1930807534779285,0.20606614499996564,0.16688518310863018,0.1986103980372935,0.19838701795751423,0.16969077024216986,0.2198711870628987,0.17769046952353892,0.2444969261117296,0.21141170202293177,0.21249189036440272,0.20159588131385742
ImpulseSymmetry,0.05435324472330168,0.03142087111702267,0.03313516287454429,0.028181311915560683,0.03893051118025892,0.05798354442846814,0.029714672127482907,0.044206791377127796,0.05413499541778802,0.04674591797559888,0.036441277000441946,0.0491687489469791,0.04873915344396165
MaxForceSymmetry,0.3585737950307276,0.4008840862455187,0.3868881600025515,0.3775296376884076,0.36335372371836017,0.3401505328257257,0.3579622157713302,0.2775491829469432,0.32790745032585705,0.3529825379095849,0.34137327263906586,0.32829988845940805,0.35376054777493704
TorqueSymmetry,0.2581116935257873,0.33821403721749277,0.30540624182571735,0.26887313223421716,0.27931439785262996,0.2926280464704254,0.23682051165999937,0.202199491733389,0.25111531788541963,0.25626090253211853,0.2977709563540069,0.2543148011930999,0.3065976427348292
days_since_first_test,0.006508936032314928,0.0018531665017714955,0.004401056856408208,0.009378714152384417,0.00875782122380149,0.007978945832415943,0.013588764697116144,0.027522686458463678,0.008822219590532905,0.014964576013446378,0.013485316474742605,0.005540809669242283,0.002604478928720617
leftAvgForce,0.008146607054444959,0.006022118487639802,0.007639853162697746,0.011884607813342335,0.012121928534318217,0.012051352248091169,0.020203000802472105,0.020409526638938403,0.010945223411960373,0.01322743676747206,0.008913497251945728,0.02424139181434111,0.011027925027588465
leftImpulse,0.0033836840018443585,0.0010796547562456841,0.0028296835890523355,0.008296438890626444,0.011043645121562072,0.007445195408996772,0.020940033930939617,0.031392325876333144,0.020646038478416156,0.005367905107946305,0.01401282555199949,0.015788374749509324,0.0038851458380444737
leftMaxForce,0.013362387181620411,0.007223397089443992,0.014808129668831254,0.014201520396822861,0.021316896355434056,0.012358215839945145,0.016908132295088994,0.013535837803500848,0.025746558674010517,0.01198501089665259,0.009956955622104805,0.030521717189269902,0.01346948051800619
leftTorque,0.010832644160487633,0.0029276069140673324,0.010956607399780811,0.013307687507844255,0.01731380539840775,0.01790483071421331,0.027837395734100726,0.03196059000164539,0.02125903164123131,0.013629290382985108,0.015649577865214433,0.021485305243515388,0.013770553815426936
rightAvgForce,0.02123628003004764,0.00535672268384075,0.005693306095000264,0.02176594019546182,0.005211162966237929,0.015957723600743504,0.02173813591390266,0.04566187693053065,0.03330019015996458,0.011531346445113808,0.005021212592949617,0.012197648149314042,0.0060489584887753675
rightImpulse,0.0034248383535283077,0.0027041144429125427,0.004305775977410168,0.009824315719881248,0.017328440431835585,0.006934269206398515,0.026584313821316593,0.014133107967949598,0.01806941609549658,0.004580984552673927,0.011655058664183291,0.021628280149381725,0.008952334976127782
rightMaxForce,0.035445622325009626,0.005752761460477646,0.012262800196564,0.041502143850132046,0.011268538255533058,0.011115797434045359,0.03840780246619293,0.04097986192270029,0.017914136101178667,0.012430046625391187,0.018308991870290267,0.011259255429499168,0.018566319635580752
rightTorque,0.014642778036580074,0.0034807096056379675,0.005607077351476475,0.02836936652668895,0.015428730924327222,0.019104528033016807,0.0196042505378879,0.03057753327957928,0.03244895269460531,0.011797118679286836,0.015999356090123193,0.013061888642037264,0.010981577504144253
