team,sample_size,risk_rate,cv_accuracy,cv_std
womens soccer,316,37.0253164556962,100.0,0.0
womens basketball,242,48.34710743801653,100.0,0.0
combined,3186,41.80790960451977,99.93720565149135,0.07690705628832635
football,972,41.76954732510288,99.7948717948718,0.4102564102564088
womes lax,429,51.28205128205128,99.53488372093024,0.9302325581395366
baseball,205,34.63414634146341,99.51219512195122,0.9756097560975618
mens soccer,321,35.82554517133956,99.375,0.7654655446197431
mens lax,215,44.651162790697676,99.06976744186046,1.1392975547828756
womens volleyball,124,33.87096774193548,98.4,1.9595917942265444
mens basketball,144,38.88888888888889,97.88177339901478,2.845227404570176
track and field,87,35.63218390804598,97.77777777777779,4.444444444444446
tennis,35,51.42857142857142,97.14285714285715,5.714285714285716
softball,94,45.744680851063826,96.84210526315789,4.2105263157894735
